React/Chakra-UI	0.94
React/Material-UI	0.86
React/Ant-Design	0.59
React/Reakit	0.95
React/Bootstrap	0.58
React/Semantic-UI	0.16
Vue/Ant-Design	0.52
Vue/Bootstrap	0.71
Vue/Element-UI	0.62
Vue/Vuetify	0.53
Angular/Ng-Bootstrap	0.63
Angular/Angular-Material	0.83
Svelte/Carbon-Components	0.82
Svelte/Material-UI	0.57
